,actor_id,actor_movieCount,actor_ratingSum,actor_normalizedMovieRank,actor_googleHits,actor_normalizedGoogleRank,actor_normalizedRating
190,563,4,160,2.9565200805664062,0,NULL,563
191,564,5,200,2.9565200805664062,0,NULL,564
192,565,4,160,2.9565200805664062,0,NULL,565
193,566,14,340,1.4192500114440918,198000,1.5073699951171875,566
194,567,7,170,1.4192500114440918,193000,1.4944700002670288,567
195,568,10,210,1.097830057144165,312000,1.8014600276947021,568
196,569,7,200,1.8385100364685059,20300,1.0489399433135986,569
197,570,11,310,1.8004000186920166,34000,1.084280014038086,570
198,571,8,210,1.6114100217819214,94400,1.2401000261306763,571
199,572,6,120,1,321000,1.824679970741272,572
200,573,8,170,1.1222800016403198,269000,1.6905299425125122,573
201,574,8,210,1.6114100217819214,76400,1.193660020828247,574
202,575,19,500,1.6178499460220337,61200,1.1544500589370728,575
203,576,4,150,2.7119600772857666,0,NULL,576
204,577,5,120,1.3912999629974365,116000,1.2958199977874756,577
205,578,9,220,1.4347800016403198,98800,1.2514499425888062,578
206,579,11,280,1.5335999727249146,56100,1.1412899494171143,579
207,580,13,300,1.3009999990463257,131000,1.3345199823379517,580
208,581,10,250,1.4891300201416016,53400,1.1343300342559814,581
209,582,6,140,1.3260899782180786,107000,1.2726099491119385,582
210,583,6,140,1.3260899782180786,95400,1.2426799535751343,583
211,584,5,180,2.5652201175689697,0,NULL,584
212,585,5,180,2.5652201175689697,0,NULL,585
213,586,7,160,1.2795000076293945,95600,1.2431999444961548,586
214,587,12,280,1.3260899782180786,76900,1.194949984550476,587
215,588,4,140,2.4673900604248047,0,NULL,588
216,589,5,170,2.369570016860962,0,NULL,589
217,590,5,170,2.369570016860962,0,NULL,590
218,591,5,170,2.369570016860962,0,NULL,591
219,592,11,240,1.1778700351715088,71000,1.1797300577163696,592
220,593,9,200,1.2173899412155151,46800,1.117300033569336,593
221,594,7,160,1.2795000076293945,17000,1.040429949760437,594
222,595,11,230,1.0889300107955933,88700,1.2253999710083008,595
223,596,10,220,1.1956499814987183,20600,1.0497100353240967,596
224,597,7,140,1,94000,1.2390700578689575,597
