,act_movie_count,act_movie_ratingSum,act_movie_normalizedMovieRank,act_mean_movie_googleHits,act_mean_movie_normalizedGoogleRank,act_mean_movie_normalizedRating,dir_movie_count,dir_movie_ratingSum,dir_movie_normalizedMovieRank,dir_mean_movie_googleHits,dir_mean_movie_normalizedGoogleRank,dir_mean_movie_normalizedRating,hitflop
158,12.75,525.0,2.806019961833954,791250.0,3.037820041179657,3.760642409324645,0.0,0.0,0.0,0.0,0.0,0.0,3
159,7.5,235.0,1.1603250205516815,97000.0,0.7485224902629852,1.3029450178146376,4.0,90.0,1.1776299476623535,29400.0,1.2098100185394287,1.21331000328064,1
160,4.0,182.5,1.661685049533844,167250.0,0.6806100010871887,1.5499774813652025,4.0,140.0,2.0657899379730225,58700.0,1.427970051765442,2.12342000007629,4
161,28.5,1190.0,3.1722150444984436,1608500.0,5.1461451053619385,5.170945048332213,6.0,220.0,2.1842100620269775,9420.0,1.0610500574111938,2.16740989685059,2
162,12.75,485.0,2.195064961910248,519525.0,2.0876850187778473,2.870934963226315,3.0,90.0,1.7105300426483154,79500.0,1.5828399658203125,1.80666995048523,2
163,9.75,315.0,0.9214375019073486,331400.0,1.3532250225543976,1.5114299654960623,0.0,0.0,0.0,0.0,0.0,0.0,1
164,3.5,85.0,0.35481250286102295,49500.0,0.3768424987792969,0.5245100259780875,0.0,0.0,0.0,0.0,0.0,0.0,3
165,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,9930.0,1.0648499727249146,1.01148998737335,1
166,17.5,692.5,2.10648250579834,807000.0,2.829309970140457,3.135604977607727,11.0,670.0,3.9066998958587646,622000.0,5.622029781341553,4.74078989028931,3
167,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140.0,1.5684200525283813,24800.0,1.175570011138916,1.58831000328064,1
168,6.75,215.0,0.89352747797966,46250.0,0.36845749616622925,0.9342775344848625,8.0,240.0,1.7105300426483154,928000.0,7.900360107421875,3.04078006744385,1
169,12.75,670.0,1.6657600402832031,999750.0,3.0774199962615967,2.91830998659134,0.0,0.0,0.0,0.0,0.0,0.0,1
170,2.25,82.5,1.2826074957847595,0.0,0.0,0.946032494306565,0.0,0.0,0.0,0.0,0.0,0.0,1
171,6.75,237.5,2.4906850457191467,311750.0,1.551672488451004,2.7339274585247026,0.0,0.0,0.0,0.0,0.0,0.0,1
